USA Ultimate National Championships,Club - Men ,19,10,2017
Sarasota,FL,2017-10-19,2017-10-22
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2017/schedule/Men/Club-Men/
Revolver,1
teamInfo,,"Minneapolis, Minnesota",http://www.subzeroultimate.com/,https://www.facebook.com/Sub-Zero-Ultimate-105463586149513/,https://twitter.com/SubZeroUltimate
00,Nicholas Ladas
01,Ryan Osgar
02,Ben Feldman
03,Colin Berry
04,Gregory Cousins
05,Charles McCutcheon
06,Ethan Rasmussen
08,Cole Wallin
10,Josh Klane
12,Grayson Pangburn
13,Anthony Poletto
15,Logan Weiss
21,Eric Johnson
23,Michael (Mike) Petersen
26,Jack Lokowich
33,Connor Anderson
41,Samuel Bumsted
42,Matt Burkhardt
48,Wyatt Mekler
49,Caleb Denecour
54,Dylan DeClerck
66,Jason Tschida
71,Nicholas Simonelli
77,Elliot Trotter
81,Andrew Otterlei
88,Charles Weinberg
99,Tristan Van De Moortele
b,r,e,a,k
Florida United,11
teamInfo,,"Florida, Florida",,https://www.facebook.com/FloridaUnited,https://twitter.com/FloridaUnited
02,Jeremy Langdon
03,James Dahl
04,Bradley Seuntjens
05,Michael Fairley
06,Michael Fioramonti
07,Ryan Hiser
08,Tyler Kunsa
09,Bobby Ley
10,Andrew Roney
11,Mischa Freystaetter
12,Travis Catron
13,Alton Gaines
14,Cole Sullivan
15,Dustin Travaglini
18,Chris LaRocque
23,Billy O'Bryan
27,Connor Holcombe
28,Josh McKisic
30,Chris Gibson
32,Brian Casey
33,Mark Lin
36,Stephen  Muir
37,Nathan Vickroy
39,Jordan Huston
75,Ryan Chard
b,r,e,a,k
PoNY,14
teamInfo,,"New York, New York",www.pony-ultimate.com,https://www.facebook.com/ponyultimate,https://twitter.com/PrideofNY
01,Markian Kuzmowycz
02,Sean Keegan
05,John Best
06,Michael Brenner
07,Clark Cofer
08,Harper Garvey
09,Samuel Little
10,Matt Hennessy
10,Gerald Tigol
12,Matthew Lemar
13,Alberto Alarcon
14,David Vuckovich
15,Kevin Norton
18,Tyler Haskell
19,Isaac Saul
21,Samuel Carletta
22,Jack Marsh
27,Nathan Shapiro
29,Ian Guerin
31,Chris Kocher
32,Nasser Mbae Vogel
33,Jake Herman
43,Josue Alorro
47,Conrad Schloer
50,Milo Snyder
69,Benjamin Jagt
80,Michael Drost
b,r,e,a,k
Chicago Machine,7
teamInfo,,"Chicago, Illinois",http://www.chicago-machine.com,https://www.facebook.com/machineultimate,https://twitter.com/MachineUltimate
coaches,Andrew Neilsen
0,Jesse White
01,David Libo-on
02,Joshua Stevens-Stein
05,Bradley Bolliger
07,Jack Shanahan
08,Stephan Mance
10,Von Alanguilan
12,Julian Childs-Walker
13,Alex Evangelides
14,Jeffrey Weis
15,Andrew Sheehan
16,Yiding Hou
18,Cullen Geppert
22,Alex Champe
23,Vincent Ciaramitaro
24,Michael Pardo
26,Kevin Kelly
29,Michael Schwenk
31,Walden Nelson
36,Timothy Fergus
37,Travis Carpenter
51,Andrew (AJ) Nelson
55,Pawel Janas
64,Neal Phelps
b,r,e,a,k
Sockeye,2
teamInfo,,"Seattle, Washington",http://www.seattlesockeye.org/,https://www.facebook.com/SeattleSockeye/,https://twitter.com/SeattleSockeye/
coaches,Roger Crafts
0,Jacob Janin
01,Donald Clark
02,Brice Dixon
03,Mario O'Brien
06,Phil Murray
07,Zane Rankin
08,Simon Montague
09,Sam Harkness
10,Dongyang Chen
11,Reid Koss
16,Trent Dillon
19,Husayn Carnegie
22,Matthew Russell
23,Danny Karlinsky
24,Joe Sefton
25,Frank Devin Barich
26,Cooper Schumacher
27,William Katz
28,Duncan Linn
31,Matthew Rehder
33,Samuel Hart
35,Dylan Freechild
37,Thomas  Kulczak
55,Will Chen
70,Julian Hausman
77,Ben Snell
87,Chris Kosednar
b,r,e,a,k
Ironside,6
teamInfo,,"Boston, Massachusetts",,https://www.facebook.com/BostonIronside/,https://twitter.com/Boston_Ironside
coaches,Josh McCarthy,Danny Clark,Jacob Luria
00,Jacob Taylor
01,Josh Markette
02,John Irvine
03,Kurt Gibson
04,Jason (Jay) Clark
05,Jordan Taylor
07,William Neff
08,Peter Prial
09,Eric Shaw
10,Tyler Chan
11,Christian Foster
12,Alex Simmons
13,Tom Annen
16,David Ferraro
17,R. Thomas Sayre-McCord
18,Ryan Dinger
19,William Dean
22,Michael Voelpel
24,Davis Whitehead
25,John Stubbs
27,Jack Hatchett
28,Benjamin Katz
33,Nico Mueller
74,Mac Hecht
99,Misha Herscu
b,r,e,a,k
Ring of Fire,3
teamInfo,,"Raleigh, North Carolina",https://ringultimate.org/,,https://twitter.com/ringultimate
coaches,David Allison,Michael Denardis
0,Jonathan Helton
01,Justin Allen
02,Hunter Taylor
03,Josh Mullen
04,Dillon Lanier
05,Matt Bode
06,Jeff Nordgren
07,Jonathan Nethercutt
08,Terrence Mitchell
09,JD Hastings
10,Henry Fisher
11,Evan Howey
12,Joey Cretella
13,Shane Sisco
14,Jakeem Polk
15,Eric Taylor
20,Jacob Fairfax
21,Matt Gouchoe-Hanas
22,Solomon Yanuck
24,Noah Saul
26,Nathan Goff
28,Jack Williams
31,Bob Liu
45,Brett Matzuka
51,Tim McAllister
84,David Richardson
99,Joshua Hartzog
b,r,e,a,k
GOAT,10
teamInfo,,"Toronto, Ontario CA",http://goatultimate.wix.com/main,https://www.facebook.com/GOATultimate,https://twitter.com/GOATultimate
coaches,Sachin Raina
03,Andrew Carroll
05,Derek Fan
06,Jaret Meron
10,Paul Tatulea
12,Remi Ojo
13,Iain MacKenzie
14,Marijo Zlatic
15,Jacky Hau
16,Ben Pries
18,Toly Vasilyev
19,Thomson McKnight
20,Jeff Lindquist
21,Geoffrey Powell
24,Jeremy Norden
25,Jay Boychuk
27,Nathan Hirst
43,Andrew Ouchterlony
45,David Hochhalter
54,Connor Armstrong
55,Kinley Gee
73,Ben Burelle
77,Michael MacKenzie
80,Jonathan (JJ) Edwards
81,Adrian Yearwood
83,Jason Huynh
87,Brett Tan
91,Cameron Harris
b,r,e,a,k
Patrol,15
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/phillypatrol/,https://twitter.com/phillypatrol
coaches,Charles Hoppes,Anthony Nunez,Benjamin Johnson
01,Colin McIntyre
02,Greg Martin
03,Gabriel Colton
06,Leon Chou
07,Nick Hirannet
08,Nick Patel
09,Patrick Diviney
10,Matt Esser
11,Himalaya Mehta
12,Codi Wood
13,David Brandolph
13,Quinn Hunziker
14,Matthew Glazer
18,William Sickles
19,Thomas Allen
20,David Baer
21,Michael Panna
22,Matt Paparone
23,James Zuraw
24,Ethan Peck
25,Trey (George) Katzenbach
27,Jake Rainwater
28,Andrew Nelson
41,Daniel Hartsoe
48,Ryan Weaver
81,Sean Mott
91,Vincent Reydams
b,r,e,a,k
Truck Stop,4
teamInfo,,"Washington, District of Columbia",http://www.truckstopultimate.org,https://www.facebook.com/TruckStopUltimate/,https://twitter.com/truckstopulti
coaches,Darryl Stanley,William Smolinski
01,Nathan Prior
03,Jackson Cochran
04,Delrico Johnson
05,David Cranston
06,Jonathan Neeley
07,Keven Moldenhauer
10,Tyler Monroe
15,Nathan Castine
17,Eric Miner
21,John Agan
22,Brian Marshall
24,Austin Bartenstein
25,Marcus Thaw
26,Allan Laviolette
27,Cody Johnston
28,Matthew Rowan McDonnell
33,Ryan Swift
36,Nick Spiva
45,Jeff Wodatch
47,John Walden
53,Jonny Malks
63,David Shields
84,Chuck Cantone
90,Markham Shofner
97,Bradley Scott
b,r,e,a,k
Dig,9
teamInfo,,"Boston, Massachusetts",digultimate@gmail.com,https://www.facebook.com/digultimate,https://twitter.com/digultimate
coaches,Tom Matthews
02,Spencer Diamond
03,Ben Sadok
04,Tanner Halkyard
05,Michael Sender
06,Rocco Essex-Linehan
07,Noah Backer
08,Thomas Edmonds
09,Misha Sidorsky
11,Mat Little
12,Tim Schoch
13,Hartley Greenwald
14,Henry Babcock
15,Dylan Best
20,Jonah Kurman-Faber
21,William Stewart
22,Benjamin Tseytlin
24,Eli Motycka
27,Nicholas Thompson
33,Ryan Rzepka
34,Rustin Ingold-Smith
35,Dan Goldstein
55,Carter Thallon
64,Carl Frederik Brasz
71,Denis Maguire
80,Chris Bartoli
83,Alex Dagley
87,Jeffrey Babbitt
b,r,e,a,k
Johnny Bravo,5
teamInfo,,"Denver, Colorado",http://bravoultimate.org/,https://www.facebook.com/Johnny-Bravo-Ultimate-111884215492137/,https://twitter.com/BravoUltimate
coaches,James (Jim) Schoettler
00,Mark Rauls
01,Tom Tulett
03,Jesse Roehm
05,Elliott Erickson
06,Erik Hotaling
07,David Wheeler
08,Austin Gregersen
09,Ian Toner
11,Joshua Crane
15,Dennison Bechis
19,Nicholas Lance
21,Joseph Anderson
22,Stanley Peterson
23,Jimmy Mickle
24,Jackson Kloor
26,Owen Westbrook
32,Kevin Johnson
34,Henry Konker
35,Todd Wolma
42,Ben Lohre
45,Will Lohre
57,J Wesley Chow
66,Matt Jackson
89,Mark Lloyd
99,Alex Tatum
b,r,e,a,k
SoCal Condors,16
teamInfo,,"Calico, California",,https://www.facebook.com/SantaBarbaraCondors,https://twitter.com/CondorsUltimate
01,Michael Kiyoi
02,Seam Ham
03,ZEKE IVERS
04,Will Griffin
08,Nathan Ransom
09,Maxwell Hume
10,Cameron Wariner
11,Steven Milardovich
12,Alexandre Kupelian
13,Mark Leggio
14,William Turner
17,Hunter Corbett
19,Jeff Silverman
22,Dan Bellinger
24,David Ritchie
28,Kyle Rubin
29,Casey Wu
31,Ryan Slaughter
42,MARK SLADER
44,Nicholas Smith
49,Matthew Parisi
55,Tyler Bacon
80,Brandon Severson
84,Jesse Cohen
88,Samuel Fontaine
91,Grant Boyd
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Revolver,Doublewide,15,10,"10/19/2017, 09:00",Pool A,Final
HIGH FIVE,Sub Zero,15,10,"10/19/2017, 09:00",Pool A,Final
Revolver,Sub Zero,15,8,"10/19/2017, 11:15",Pool A,Final
HIGH FIVE,Doublewide,12,14,"10/19/2017, 11:15",Pool A,Final
Revolver,HIGH FIVE,15,12,"10/19/2017, 13:30",Pool A,Final
Doublewide,Sub Zero,15,8,"10/19/2017, 13:30",Pool A,Final
pool,Pool B
Sockeye,Florida United,8,14,"10/19/2017, 11:15",Pool B,Final
Chicago Machine,PoNY,11,14,"10/19/2017, 11:15",Pool B,Final
Sockeye,PoNY,11,12,"10/19/2017, 13:30",Pool B,Final
Chicago Machine,Florida United,11,14,"10/19/2017, 13:30",Pool B,Final
Sockeye,Chicago Machine,10,13,"10/19/2017, 15:45",Pool B,Final
Florida United,PoNY,14,12,"10/19/2017, 15:45",Pool B,Final
pool,Pool C
Ring of Fire,GOAT,15,12,"10/19/2017, 09:00",Pool C,Final
Ironside,Patrol,13,12,"10/19/2017, 09:00",Pool C,Final
Ring of Fire,Patrol,14,7,"10/19/2017, 13:30",Pool C,Final
Ironside,GOAT,15,9,"10/19/2017, 13:30",Pool C,Final
Ring of Fire,Ironside,11,13,"10/19/2017, 15:45",Pool C,Final
GOAT,Patrol,12,9,"10/19/2017, 15:45",Pool C,Final
pool,Pool D
Truck Stop,Dig,12,14,"10/19/2017, 09:00",Pool D,Final
Johnny Bravo,SoCal Condors,13,11,"10/19/2017, 09:00",Pool D,Final
Truck Stop,SoCal Condors,14,12,"10/19/2017, 11:15",Pool D,Final
Johnny Bravo,Dig,14,13,"10/19/2017, 11:15",Pool D,Final
Truck Stop,Johnny Bravo,14,11,"10/19/2017, 15:45",Pool D,Final
Dig,SoCal Condors,12,10,"10/19/2017, 15:45",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Revolver,Doublewide,15,7,"10/22/2017, 10:00",1st Place,Final
Revolver,Ring of Fire,13,10,"10/21/2017, 11:30",Semifinals (11:30am & 3:00pm),Final
Truck Stop,Doublewide,8,13,"10/21/2017, 15:00",Semifinals (11:30am & 3:00pm),Final
Revolver,PoNY,15,4,"10/20/2017, 11:45",Quarterfinals,Final
Ring of Fire,Dig,11,9,"10/20/2017, 11:45",Quarterfinals,Final
Ironside,Truck Stop,10,14,"10/20/2017, 14:00",Quarterfinals,Final
Doublewide,Florida United,13,11,"10/20/2017, 14:00",Quarterfinals,Final
PoNY,GOAT,13,12,"10/20/2017, 09:00",Pre-Quarters,Final
Chicago Machine,Ring of Fire,7,15,"10/20/2017, 09:00",Pre-Quarters,Final
Truck Stop,HIGH FIVE,14,10,"10/20/2017, 09:00",Pre-Quarters,Final
Johnny Bravo,Doublewide,9,15,"10/20/2017, 09:00",Pre-Quarters,Final
b,r,e,a,k
brackets,2018 Pro Flight Bracket
bracket,3rd Place (2018 WUCC Qualifier)
Ring of Fire,Truck Stop,14,11,"10/22/2017, 09:30",3rd Place (Time TBD),Final
bracket,5th Place Bracket
Ironside,Dig,15,12,"10/21/2017, 09:00",5th Place,Final
Ironside,PoNY,15,14,"10/20/2017, 16:15",5th Place Semifinals,Final
Florida United,Dig,6,15,"10/20/2017, 16:15",5th Place Semifinals,Final
bracket,Pro Flight Play-In Bracket
PoNY,Sub Zero,13,10,"10/21/2017, 12:30",7th Place,Final
Sub Zero,Florida United,15,7,"10/21/2017, 10:00",Pro Flight Play-In / 7th Semis,Final
PoNY,Johnny Bravo,15,9,"10/21/2017, 10:00",Pro Flight Play-In / 7th Semis,Final
Sub Zero,Chicago Machine,13,12,"10/20/2017, 16:15",9th Place Semifinals,Final
Johnny Bravo,Sockeye,13,12,"10/20/2017, 16:15",9th Place Semifinals,Final
Johnny Bravo,SoCal Condors,14,11,"10/20/2017, 11:45",9th Place Quarterfinals,Final
Sockeye,GOAT,14,13,"10/20/2017, 11:45",9th Place Quarterfinals,Final
HIGH FIVE,Sub Zero,12,14,"10/20/2017, 11:45",9th Place Quarterfinals,Final
Patrol,Chicago Machine,0,15,"10/20/2017, 11:45",9th Place Quarterfinals,Final
b,r,e,a,k
brackets,2018 Elite Flight Bracket
bracket,11th Place
Sockeye,Chicago Machine,0,1,"10/21/2017, 09:00",11th Place,Final
bracket,13th Place Bracket
GOAT,HIGH FIVE,13,14,"10/21/2017, 09:00",13th Place,Final
SoCal Condors,GOAT,8,15,"10/20/2017, 14:00",13th Place Semifinals,Final
HIGH FIVE,Patrol,15,13,"10/20/2017, 14:00",13th Place Semifinals,Final
bracket,15th Place
SoCal Condors,Patrol,14,11,"10/21/2017, 09:00",15th Place,Final
b,r,e,a,k
clusters,Crossover Round (4 Seeds from Pool Play)
cluster,Crossover Round (4 Seeds from Pool Play)
Sockeye,SoCal Condors,14,13,"10/20/2017, 09:00",,Final
Sub Zero,Patrol,15,10,"10/20/2017, 09:00",,Final
b,r,e,a,k
